Date,BAJAJELEC,upper,lower
2017-05-15,341.15,,
2017-05-16,347.0,,
2017-05-17,349.85,,
2017-05-18,334.1,,
2017-05-19,336.2,,
2017-05-22,313.25,,
2017-05-23,315.55,,
2017-05-24,327.95,,
2017-05-25,346.2,,
2017-05-26,359.45,,
2017-05-29,348.7,,
2017-05-30,342.85,,
2017-05-31,342.05,,
2017-06-01,341.45,364.687682731259,313.2766029830266
2017-06-02,352.15,366.41407514965744,313.1216391360567
2017-06-05,357.6,368.6194765992288,312.43052340077116
2017-06-06,357.65,370.2616300446769,311.9026556696086
2017-06-07,357.9,372.96526618899713,312.5990195252883
2017-06-08,356.5,374.99794822966265,313.4663374846228
2017-06-09,350.0,371.9915158013142,321.7227699129712
2017-06-12,348.45,366.7327661706648,331.6815195436206
2017-06-13,343.5,363.46393623908915,337.17177804662487
2017-06-14,349.3,363.48955619387414,337.58901523469706
2017-06-15,345.6,361.6565779958346,337.4434220041652
2017-06-16,343.95,361.68068921452914,336.7407393568993
2017-06-19,346.8,361.5135352974664,337.4721789882478
2017-06-20,341.4,361.59527874087075,337.29757840198613
2017-06-21,342.35,361.48557118682976,337.5358573845986
2017-06-22,340.0,361.52079636779973,335.7649179179144
2017-06-23,328.4,362.3210186565704,330.7932670577151
2017-06-27,324.6,362.4987388201256,325.8941183227314
2017-06-28,325.05,360.9882420219912,322.71175797800873
2017-06-29,331.8,357.91556948040784,322.25585909102074
2017-06-30,326.75,356.6046483845156,320.2453516154844
2017-07-03,328.25,354.9394258083305,319.02485990595517
2017-07-04,324.4,354.32843034226914,316.9072839434451
2017-07-05,321.3,352.01165238192374,315.2240619037905
2017-07-06,330.8,349.64242643964946,315.47900213177905
2017-07-07,328.6,347.323688582637,315.60488284593447
2017-07-10,330.7,343.4915054847506,317.1370659438208
2017-07-11,339.2,342.8067921160605,317.5074935982252
2017-07-12,333.85,340.36103424925074,318.7389657507493
2017-07-13,330.5,337.9031431446355,319.8397139982216
2017-07-14,339.1,340.17986531266433,319.09156325876427
2017-07-17,336.8,341.27274742717293,319.7415382871128
2017-07-18,332.0,341.31662993825637,320.6905129188865
2017-07-19,333.1,341.46364496852306,320.7292121743341
2017-07-20,335.4,341.9963409242458,321.4322305043256
2017-07-21,336.85,342.74576980328,321.911373053863
2017-07-24,338.45,343.14881683115743,323.5154688831284
2017-07-25,336.05,341.40803349185785,327.36339507957075
2017-07-26,340.65,342.5255977211707,327.65297370740075
2017-07-27,339.15,342.5487508930604,329.1369633926538
2017-07-28,335.7,342.22392665191865,330.1760733480812
2017-07-31,327.7,342.6478655733039,328.1092772838389
2017-08-01,323.05,344.42179886372185,324.7924868505637
2017-08-02,329.0,344.53800470519633,324.46199529480356
2017-08-03,328.25,343.9074698530218,323.54253014697804
2017-08-04,325.9,343.76318653059815,322.12967061225874
